skill_raw;observations;skill_normalized;possible_domains;possible_fields;type_of_skill;too_generic
Pipeline Operations;a pipeline could be both a real hydraulic pipeline and an informational one;Pipeline Operations;Hydraulic Engineering, Information Technology;Engineering, Information Technology;Hard;0
Data Room;most data rooms nowadays are just pieces of software, physical data rooms are extremely rare;Data Room;Data Management;Information Technology;Hard;0
WordPress;WordPress is a web development tool;WordPress;Web Development;Information Technology;Hard;0
job advertisements; this skill has two parts, marketing and HR;Recruitment Advertising;Recruitment, Advertising;Human Resources, Marketing;Soft;0
2ε;difficult skill to normalize, since 2ε is a version of LaTeX we will normalize it in that way;LaTeX;Markup Language;Information Technology;Hard;0
employment practices;the knowledge of labor law;Labor Law Knowledge;Labor Law;Human Resources;Soft;0
ability to lead and supervise a team of technicians; the ability to lead a team;Team Leadership;Team Management;Human Resources;Soft;0
SOP’s;SOP is an acronym, that probability stands for Standard Operating Procedures;Standard Operating Procedures;Business Management;Business Management;Soft;0
A&H;A&H is an acronym that stands for Allen & Heath, a company that produces audio mixing equipment;Mixing consoles;Audio Equipment;Miusic;Hard;0
Hilfsassistentin - Institute of Marketing and Business Management;Hilfsassistentin is a German word that stands for assistant;Assistant;Business Management;Business Management;Soft;0
Vendite;Vendite is an Italian word that stands for sales;Sales;Sales;Sales;Soft;0
Stochastic Modelling;Stochastic Modelling is a statistical skill;Stochastic Modelling;Statistics;Mathematics;Hard;0
plant startup and shutdown;this probably refers to experience in the startup and shutdown of industrial plants;Plant Startup and Shutdown;Plant Operations;Operations Management;Hard;0
patent offices;this skill probably refers to the knowledge of patent law;Patent Law;Intellectual Property and Copyright Law;Legal;0
results driven;too generic;Result Driven;Mental Skills;Personal Skills;Soft;1
Technical Report Writing;the ability to write technical reports is a form of comunication;Technical Report Writing;Written Communication;Communication;Soft;0
Patent Law;Patent Law is a legal skill;Patent Law;Intellectual Property and Copyright Law;Legal;0
professional ethics;too generic;Professional Ethics;Mental Skills;Personal Skills;Soft;1
written communication;this skill is a form of communication;Written Communication;Written Communication;Communication;Soft;0
computer software;too generic, but is related to informatics;Computer Software;Computer Skills;Information Technology;Hard;1
goal orientation;too generic;Result Driven;Mental Skills;Personal Skills;Soft;1
ReSharper;ReSharper is a visual studio extesion for software development;ReSharper;Software Development;Information Technology;Hard;0
63 Licenses;the Series 63 is a securities exam and license;Series 63;Financial Securities;Financial Services;Hard;0
lift 50 lbs. on a daily continuous basis;a physical skill;Physical Strenght;Physical Skills;Personal Skills;Hard;0
production supervisor;this is the ability to supervise a production line;Production Supervision;Production Management;Operations Management;Soft;0
asset protection;the ability to protect financial assets;Asset Protection;Financial Security;Financial Services;Soft;0
customer-first mindset;Prioritizazion
Luxury Brands;Luxury Management
regular travel;Traveling
professional environment;Work Ethic
Data Warehousing;Data Management
Technical Files;Data Collection
project development;Project Management
exploration;Environmental Science
regulations;Corporate and Business Law
data management;Data Management
waste disposal;Waste Management
Patent Prosecution;Intellectual Property and Copyright Law
sewer systems;Structural Engineering
material management;Materials Management
remote;Flexibility
operations processes;Operations Management
Industry 4;Automation
Electronic Trading;Trading
detail oriented;Attention to Detail
plant management and relation management experience;Business Strategy
Microsoft VCenter;VCenter
fashion industry trends;Fashion Marketing and PR
luxury/retail knowledge;Luxury Management
Market Research;Market Research
in-season analysis;Business Analysis
investment analysis;Cost Analysis
Commercial Terms;Corporate and Business Law
Customer Relationship Management (CRM);Customer Relationship Management
non-CDL;Driver License Ability
Instagram;Social Media Marketing
New Hire Orientations;Talent Acquisition and Recruitment
Industrial Reporting;Reporting
PLC Network;PLC
Prescriptive Analytics;Data Analytics
Business Requirements Analysis;Business Process
Barcode Technology;Product Management
communication strategy;Communication
Marketingkommunikation;Marketing Management
retail sales;Retail
immaculate presentation;Communication
QC;Quality Control
C-level presentation;Communication
including SQL;SQL
Search Engine Optimization (SEO);SEO
assessment;Business Analysis
Industrial Manufacturing;Manufacturing
fuel sampling;Oil and Gas Management
distribution management;Energy Management
Mac;Computer Science
technical inspection;Auditing
IP Portfolio Management;Project Management
SRM;Microsoft SRM
sales performance;Performance Analysis
maintenance;Maintenance
knowledge of Business Analysis methodologies and tools;Business Analysis
2D Animation;Graphic Design
passion for fashion;Apparel and Fashion Design
Due Diligence;Quality Control
Blogging;Blogging
work boots usage;PPE Management
Textiles;Textile Knitting
Oil and Gas Nomination;Oil and Gas Management
industrial chemistry;Biochemistry
market insights;Market Research
Cloud Architect;Cloud-Computing
accounts payable;Account Management
Shared Services;Service Industry
financial services;Financial Services
Preventive and reactive maintenance;Maintenance
finance queries;Financial Services
pr;Public Relations
wholesale market dynamics;Market Research
Editoria online;Publishing
Environmental Risks;Environmental Science
work flexibility;Flexibility
Journey Design;User Experience Design
utility cost modeling;Operations Management
customers' processes;Process Management
bachelor degree in chemistry;Chemistry
Database Verification;Database Administration
Control Room Management;Security Protocols
3D-Modellierung;Graphic Design
Knowledge of electricity costs and grid congestion;Energy Management
Generation;Energy Management
digital content creation;Digital Marketing
Survey Research;Survey Design
Digital Content;Digital Marketing
Artificial Intelligence;AI
ODBC;Open Database Connectivity
Microsoft Intune;Microsoft Intune
data governance;Data Management
wind;Energy Management
field service technician management;Technician
Technological Evaluation;Tech Savvy
E-brochures;Typography
Transfer Learning;Machine Learning
complaint handling;Customer Support
CAD Standards;CAD
control management;Operations Management
territory management;Operations Management
ecolabels;Sustainability
scripting;Computer Programming
Precious Materials;Materials Engineering
college degree preferred;Well Educated
ACBS;Financial Services
Curation;Content Marketing
Good Manufacturing Practice;Manufacturing
working capital optimization;Financial Analysis
exceeding sales targets;Sales
passion for automotive;Automotives
Business Process Design;Business Process
marketing skills;Marketing
grid control rooms;Web Development
Web Scraping;Data Collection
PPE use;PPE Management
Company Events Management;Event Planning
environmental services;Sustainability
Java Database Connectivity (JDBC);Java
safely;Accountability
French (nice-to-have);French
Managed Services;Procurement
understanding of luxury industry;Luxury Management
query;jQuery
Business Process Improvement;Business Process
decarbonisation;Petroleum Engineering
.NET Compact Framework;.NET
customer profiling;Consumer Behavior Analysis
on-call scheduling;Flexibility
sap release management;SAP
policy analysis;Workplace Policy Conduct
rolling forecast;Data Analysis
Cultural Management;People Management
SEAK Workforce Planning;Workforce Planning
Project Portfolio Management;Project Management
sales tactics;Sales
New Media;Social Media Marketing
adherence to company policies and procedures;Workplace Policy Conduct
supply plans;Supply Chain Management
Microsoft Salesforce;Salesforce
Word);Microsoft Word
Product Formulation;Product Management
heavy equipment operation knowledge;Rigid Vehicles
holiday and weekend availability;Flexibility
commission;Procurement
Embedded Systems;Computer Science
orientation to target achievement;Productivity
retail support;Retail
client service techniques;Customer Support
Consolidation Systems;Consolidation
New England States;International Relations
garment fitting;Clothing Industry Process
AD Migration;Active Directory
presentation development;Communication
Microsoft Mulesoft;Microsoft Mulesoft
Onions;Qualified
Master Data Management;Data Management
VM Equipment;Virtual Machines
Employee Relations;People Management
Research;Research
Intercultural Communication;Intercultural Mediation
venture Operations;Financial Services
Corporate Branding;Brand Marketing
recycling;Sustainability
ability to maintain confidentiality;Work Ethic
Practical Theology;Theology
solution identification;Problem Solving
work under pressure;Resilience
Footnotes;Accounting
PCF 12 role;Legal Counseling
Seismology;Structural Engineering
System Operations;Computer Science
Prioritize Workload;Prioritization Skills
customer analytics;Data Analytics
distribution panel configurations and rating;Electrical Wiring
software sales;Sales
Online Advertising;Advertising
Portfolio Management;Project Management
Electrotechnical Certification;Electrotechnical
Ramping;Physical Training
cooling towers;MEP Engineering
Sourcing;Procurement
hazardous material management;Materials Management
diversity recruiting;Diversity and Inclusion Initiatives Training
General Business Analysis;Business Analysis
performing janitorial work;Maintenance
TX Electricians License;Electrical Wiring
Microsoft WSUS;Microsoft WSUS
paid holidays;People Management
C++0x;C++
development;Business Development
renewables;Energy Management
markdowns;Cost Analysis
Apparel Design;Clothing Industry Process
CJ Affiliate;Affiliate Marketing
delivery risks;Delivery Process
work passes;People Management
Azure DevOps;DevOps
renewables generation;Energy Management
360 ecommerce;E-Commerce Management
Reconstruction;Graphic Design
Product Cost Analysis;Cost Analysis
client insights;Customer Support
competitors analysis;Business Analysis
chemical characterization;Electrochemical Characterization
osha;Health and Safety
sustainability governance;Sustainability
Customer Consulting;Customer Support
team-working;Teamwork
Consulting;Consultancy
Provisioning;Finance
uncertainty;Problem Solving
landing pages;Web Development
procedures;Business Process
Backup Solutions;Backup Management
incident reporting;Security Protocols
deep-learning ML architectures for regression (e.g.;Data Science
electrical theory knowledge;Power Engineering
post-sales activities;Sales
Smart City;Innovation
Innovation Development;Innovation
Nation Branding;Brand Marketing
derivative instruments;New Business
wind power plants design and construction;Industrial Engineering
FlowJo;Data Analysis
Shore Management;Naval Management
Apache ZooKeeper;Apache ZooKeeper
R&D;R&D
energy;Energy Management
SIPAC;Military Occupational Specialties
Google Search Console;Google Ads
electrical diagnosis;Energy Management
sales strategy;Business Strategy
CIPP/M;Legal Counseling
Ansys;ANSYS
Gas Management;Oil and Gas Management
Ability to work in a team;Teamwork
ABEL;Financial Services
hotworks;Mechanics
Business Information Research;Business Analysis
Solutions Engineering;Product Management
hydraulics;Hydraulic System Maintenance 
2013 (Lync);Lync
cashier;Retail Cashier
Freight Management;Operations Management
seasonal work;Flexibility
experience in a customer-facing position;Customer Support
12-hour shifts;Resilience
good knowledge of English;English
Active Directory;Active Directory
YouTube;YouTube
Archival Management;Backup Management
project historic data management;Data Management
meeting sales quotas;Sales
detail-oriented;Attention to Detail
Career Management;People Management
Kindergarten teacher;Early Childhood Education and Preschool Teaching
business plans;Business Planning
keyword portfolios;Keyword Research
technical development;Operations Management
Context;Business Process
listening;Interpersonal Skills
Debt Restructuring;Financial Services
Publix Trade Shows;Sales
Experimental Design;Product Design
paid training;Training
SDGs;Sustainability
ESG ratings;Business Process
hygiene;Health and Safety
Backup Exec;Backup Management
Restful;APIs
Storytelling;Communication
impact assessment;Marketing Management
petty cash;Budgeting
jewelry photography;Photography
Lockout Tagout;Health and Safety
Traffic Data Analytics;Data Analytics
MCSC;Computer Science
Oil Price Forecasting;Fuel Distribution and Logistics
proficiency in ERP (Essbase;ERP
Pivot Table;Statistics
Augmented Reality;VR
programming languages (R;R Programming Language
Google Software;Google Suite
Food Technology;Food Science
customer support;Customer Support
arts and culture;Art
behind the wheel instruction;Driver License Ability
Security Auditing;Auditing
MSQL;SQL
ability to perform minor and some major installations;MEP Engineering
Curtailment;Energy Management
paid channels;Marketing
User Registration;User Experience Design
aws;AWS
Cheesemaking;Food and Beverages Management
NAS;Data Storage
3G;Telecommunications
Communications Strategy;Communication Strategy and Planning
ultrasound qualifications (a plus);Sound Engineering
luxury retail sector;Luxury Management
Multi-cultural Communications;People Management
Branding Research;Brand Marketing
Educational Psychology;Pedagogy and Teaching Methods
Microsoft products;Microsoft Office
noise exposure;PPE Management
Price Comparison;Cost Analysis
Supply-Chain-Management;Supply Chain Management
Prototyping;Product Development
progress monitoring;Reporting
onshore base;Naval Engineering
Presy;Web Development
earth covering;Construction
multilingual skills (Italian;Italian
CNN;Computer Science
Revenue Verification;Business Planning
life skills;Experienced
hand tools;Mechanics
Microsoft Python;Python
microservices development;Computer Science
Thermal Comfort;Energy Management
cultural initiatives;People Management
consulting experience;Consultancy
payment reconciliation;Accounting
IT Service Management;IT Operations & Management
SAP R/3;SAP
Software Installation;Software Development
equipment condition report;Goods Procurement
Data Platform Design;Web Design
materials handling;Materials Management
accountable achiever;Accounting
10K;Accounting
digital platforms;Digital Marketing
Customer Statement Management;Customer Relationship Management
cash equity;Accounting
Drilling Engineering;Construction
Autodesk Smoke;Autodesk Suite
centerlining;Business Process
Relaxation niques;Relaxation Techniques
Outsourcing;Procurement
production process;Process Management
ethical standards;Work Ethic
Tutoring;Employee Training and Development
PPE (Personal Protective Equipment);PPE Management
safety policies and procedures;Health and Safety
Online Marketing;Digital Marketing
Microsoft Project;Microsoft Office
fluency in French and English;Communication
SGI;Business Strategy
emergency response readiness;Security Protocols
Customer Advisory;Customer Relationship Management
Recruitment Marketing;Talent Acquisition and Recruitment
European market;Market Research
product sensitivity;Product Management
price elasticity;Cost Analysis
repairs;Maintenance
Historical Research;Research
nutrient density;Food Science
customer requirements analysis;Procurement
Econometrics;Economics
luxury customer service;Luxury Management
return to service;People Management
professional attitude;Good Attitude
data modification;Data Manipulation
liaison;Communication
e.g.;DevOps
Equipement video;Graphic Design
market intelligence;Market Research
operational instructions writing;Communication
960 Grid System;Web Development
virtual power plant;Energy Management
Employee Training;People Management
site documentation management;Operations Management
premium retail;Retail
tracking and reporting;Reporting
time schedules;Time Management
WCF Services;Data Management
Diploma in Technical Scientific Field;Science
Amazon EC2;Amazon EC2
group accounting;Accounting
cloud maintenance;Cloud-Computing
Waste Characterization;Electrochemical Characterization
Moderation;Community Management
Brand Initiatives;Brand Marketing
general vehicle operation;Automotives
JavaMail;Java
client-centric culture;Business Strategy
communications management;Communication
OOP;Computer Programming
JQuery UI;jQuery
Verification;Quality Control
Brand Licensing;Brand Marketing
3DEqualizer;3DEqualizer
Corporate Fraud Investigations;Financial Services
Risk Management;Risk Management
C++;C++
senior proposals specialist;Process Management
and electrical equipment maintenance;Electronics
agile software engineering;Software Development
professionalism;Work Ethic
Hiring;Talent Acquisition and Recruitment
schedule reviews;Business Analysis
Integrated Supply Chain Management;Supply Chain Management
French;French
4 Disciplines of Execution;Entrepreneurship
Brand Identity;Brand Marketing
adaptability to different technologies;Tech Savvy
international standards and codes;International Relations
NFT;Trading
sustainability progress;Sustainability
Digital Products;Digital Marketing
bilingualism;Communication
environmental technologies;Environmental Engineering
compensation claims;People Management
Transmission Control;Telecommunications
twisting;Mechanics
test planning;Test-Driven Development
React;React
energy storage systems;Energy Management
soft skills;Good Attitude
maintaining;Maintenance
Proposal;Business Strategy
Mandatory Communications;Communication
engineering degree;Engineering
PLSQL;SQL
Oratory;Communication
loss prevention;Cost Analysis
sales analysis;Sales
database applications;Database Administration
low- and medium-voltage equipment operation;Power Engineering
regulatory compliance;Regulatory Compliance Law
Compensation;People Management
Sustainability knowledge;Sustainability
hse management system;Sustainability
construction supervision;Construction
Comparison;Business Analysis
aws ec2;AWS
HTML5;HTML
Product Management;Product Management
AutoCAD for Mac;AutoCAD
Branded Content Development;Brand Marketing
knowledge of safety policies and procedures;Health and Safety
performance monitoring tools;Performance Analysis
communicate;Communication
real estate contracts;Sales
PPE compliance;PPE Management
Good Manufacturing Process (GMP's);Manufacturing
Database Design;Database Administration
NonStop SQL;SQL
Mathematics;Mathematics
continuous learning;Resillience
proficiency in technical resources (CRM;Customer Relationship Management
process documentation;Business Process
route information;Operations Management
competency framework;Business Analysis
Alternative Finance;Finance
Maritime Engineering;Naval Engineering
oral;Communication
Russians;Russian
apache;Apache
safety guidelines;Health and Safety
store zoning;Maintenance
data pipelines;Data Management
IT Systems Implementation;IT Operations & Management
Credit Portfolio Analysis;Financial Services
licensing transactions;Intellectual Property and Copyright Law
project financing contract assessment;People Management
manufacturing operations environment;Manufacturing
Labor legislation;Labor Law Supervision
hse risk identification;Sustainability
international experience;Experienced
call reports;Reporting
merchandising execution;Merchandising
high availability backup;Backup Management
marketing campaigns;Marketing Management
Web Software Development;Web Development
EDF;Energy Management
Project Proposal;Project Management
Hadoop;Data Management
fashion luxury;Apparel and Fashion Design
energy usage analysis;Energy Management
portfolio construction;Project Management
fluency in Spanish is a plus;Spanish
Store Coaching;Employee Training and Development
willingness to travel up to 20%;Traveling
creative problem-solving;Problem Solving
Microsoft Azure;Microsoft Azure
Corporate Security;Corporate Governance
construction techniques;Construction
Customer Centric;Customer Support
high school diploma or GED;Well Educated
retail sales initiatives;Sales
Event Design;Event Planning
Customs;Customer Relationship Management
tyre fitter;Tire Maintenance
POC Development;Software Development
Search Algorithms;Algorithms
New Business Development;New Business
Accessories;Apparel and Fashion Design
business partnering;New Business
HRIS implementation;People Management
Hull Engineering;Naval Engineering
GA;Google Analytics
SAP ERP;SAP
sales performance analysis;Performance Analysis
and motor controls;Mechanics
spill cleanup;Sustainability
AFH;Business Administration
power or gas retail price structuring knowledge;Fuel Distribution and Logistics
chemical titration testing;Chemistry
Storage Networking;Network Administration
Customer Trust Management;Customer Relationship Management
programmatic buying;Advertising
third-party vendors;Procurement
drive to succeed;Proactivity
drafting;Business Analysis
group procedures;Teamwork
Hazardous Materials Management;Materials Management
Business Studies;Business Management
current and voltage calculations;Electrical Wiring
australian energy sector;Energy Management
Trainee Marketing & Communication;Marketing Management
Electronic Document Archiving;Data Management
ms office;Microsoft Office
luxury fashion;Apparel and Fashion Design
VDACalculations;Accounting
on-the-job training;Training
Google Shopping;Advertising
data exploration;Data Science
Ranking;Business Management
C language;C++
transportation;Operations Management
Management Program;Management
Rules Enginering;Engineering
report writing;Reporting
fluent mandarin;Chinese
Algorithm Design;Algorithms
meteorology;Meteorology
materials science;Materials Engineering
smart working;Flexibility
Industrial Methodologies;Industrial Planning
Customer Tender;Customer Relationship Management
vacation;People Management
undergraduate program;Well Educated
SFA;Sales
Innovation Scout;Innovation
equipment maintenance;Maintenance
shipping and receiving procedures;Operations Management
project coordination;Project Management
inference;Business Analysis
inventory planning vs targets;Inventory Management
Product Tesing;Product Management
Company Communication;Communication
PaaS;Cloud-Computing
Industrial Economics;Economics
Procurement;Procurement
special projects;Project Management
Blockchain;Corporate Finance
Reconciling;People Management
predictive forecasting;Business Analysis
Medical Translation;Translation
Containerized Applications;Software Development
Microsoft Bluebeam;Microsoft Bluebeam
Bayesian Statistics;Computer Science
cement work;Construction
IT & Business Strategy Alignment;Business Strategy
native level japanese;Japanese
AI;AI
science;Science
Good Manufacturing Practices;Manufacturing
SAP Design;SAP
vessel contract management;Corporate and Business Law
financial planning;Financial Analysis
situational awareness;Analytical Skills
Functional Requirements;Software Development
Credit Analysis;Financial Analysis
Import and Export;International Trading
Research and Development (R&D);R&D
Versalis;Chemical Engineering
logistic;Logistics
schematics;Electrical Wiring
Apache Cassandra;Apache Cassandra
Stream Analytics;Data Analytics
cdl school training;Driver License Ability
Adobe Package Graphics Tools;Adobe Creative Suite
4x4;Mechanical Engineering
manufacturing processes;Manufacturing
NSS;Apparel and Fashion Design
SQL Server software proficiency;SQL
market dynamics;Market Research
banking applications sales;Financial Services
Amazon;Operations Management
Oracle Marketing;Oracle
analytical abilities;Analytical Skills
ms word;Microsoft Word
cross-functional relationships;Teamwork
professional accounting qualification;Accounting
IT Integration;IT Operations & Management
sustainable practices;Sustainability
federal and state laws knowledge;Federal and State Law
motors;Automotives
Keyword Generation;Keyword Research
conventional and renewable energy processes;Energy Management
solution selling;Sales
regional account management;Management
Cookie Management;Data Management
Funding;Financial Services
OSHA forklift certification;Rigid Vehicles
NYISO;Web Development
Press;Brand Marketing
Kaizen;Kaizen
Retrofit;Product Management
client experience;Customer Relationship Management
computerized diagnostic and troubleshooting tools;Risk Management
revenue specialist;Business Planning
Connectivism;Teaching and Classroom Instruction
factory environment;Manufacturing
International Economics;Economics
8000;Data Collection
Ziplin;Zeplin
supervision;Operations Management
Brand Support;Brand Marketing
Radically Client-Centric mindset;Customer Support
experience with industrial operations and maintenance;Industrial Engineering
Projects Financing;Budgeting
Performance Management;Performance Analysis
central bank regulations;Financial Services
CAD Engineering;CAD
Google Cloud Platform;Google Cloud Platform
TCP/IP protocol;Network Administration
goal-setting;Result Driven
Signatures;Legal Counseling
project monitoring;Project Management
empathy;Empathy
identification of new opportunities;New Business
RabbitMQ;Computer Science
Leadership;Leadership
Brand Naming;Brand Design
Spatial Data Management;Data Management
Switching;Business Analysis
